time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
376,1.146823,-7.186196,-9.111135,0.077274,1.871100,1.530560
377,3.150769,-6.752846,-6.689400,0.507078,-0.349066,-0.636579
378,3.082535,-7.459136,-6.805518,0.124438,-0.054625,-0.461513
379,4.436456,-8.743625,-7.062895,0.417280,-1.642208,-1.661127
380,4.490325,-12.811374,-6.636727,0.260867,-2.446659,-1.994738
381,3.308787,-8.303091,-7.234080,-0.187590,-0.564368,-0.262199
382,2.341529,-5.057751,-5.620389,0.020784,-0.385838,1.022949
383,0.751779,-5.679047,-6.997055,-0.115112,-0.191853,-1.247044
384,1.942895,-9.199720,-7.617153,0.093795,0.443127,-0.429538
385,3.366248,-11.907562,-7.359776,-0.001865,-0.727176,-0.634181
386,3.751714,-9.319430,-8.901642,-0.426340,0.168138,0.130300
387,2.653973,-6.549339,-5.213374,0.318956,0.876395,1.199348
388,2.594118,-6.253655,-7.475895,0.031443,-0.096992,-0.717051
389,3.637990,-9.228451,-6.604405,-0.260867,-0.312294,-1.243580
390,4.085705,-12.030864,-6.579266,-0.032508,-2.320089,-1.653133
391,4.286818,-10.442310,-6.931214,-0.340273,-0.369051,-0.734904
392,2.446874,-5.776011,-5.485116,0.160943,0.182527,0.688539
394,2.183512,-6.223727,-6.731298,0.108983,-0.687473,-0.686407
395,1.561020,-8.049306,-5.790377,0.020518,0.021583,-0.092196
396,4.047398,-10.134656,-9.105149,-0.536922,-0.972055,-1.630484
397,3.056198,-9.345766,-6.769605,-0.221164,0.659495,0.768478
398,2.846706,-7.260417,-5.983110,0.142291,-0.409020,-0.358925
399,2.385822,-6.318298,-5.413290,0.609666,0.131100,0.409020
400,2.626439,-7.566875,-6.726510,0.557440,-0.466842,-0.991240
401,3.816358,-10.206482,-5.415684,0.052493,-1.088499,-1.357626
402,5.476737,-9.155427,-9.564836,0.400493,-1.616894,-0.870266
403,2.659958,-8.400057,-2.369063,0.591547,-0.844953,0.014123
404,3.727772,-7.726089,-7.710526,0.123639,-0.823103,-1.065583
405,3.867833,-9.452309,-4.493917,-0.062086,0.166006,0.030110
406,2.285265,-6.439206,-7.228095,-0.260600,-0.157479,-0.563835
407,4.326323,-10.086772,-5.821501,-0.321087,0.258202,-0.046364
408,3.388993,-6.198588,-7.108385,-0.001599,0.648570,0.301103
409,3.338714,-7.994239,-6.386533,0.221963,-0.417547,-0.116178
410,2.079364,-8.243237,-6.253655,0.102588,-0.441262,-0.066616
411,3.514688,-7.819463,-7.292738,-0.168404,0.371182,0.056224
412,3.233369,-8.704121,-6.347029,0.014389,-0.291510,-0.157479
413,3.093309,-7.553706,-6.925229,0.215035,0.064750,0.294974
415,3.263297,-8.868123,-6.585252,0.023449,-0.195583,-0.095926
416,2.531868,-7.759608,-6.326678,-0.073544,0.128701,0.099390
417,2.685097,-8.027759,-6.370971,-0.038637,-0.090064,-0.071145
418,2.704251,-8.232463,-6.683414,0.042101,-0.005329,0.130833
419,2.847903,-7.940370,-6.473921,0.029577,0.094328,0.144689
420,2.772485,-8.364143,-6.471527,-0.083136,-0.025314,-0.232888
421,2.863465,-8.016984,-6.605602,0.006129,0.147087,0.137228
422,2.940080,-8.514978,-6.695385,-0.032775,-0.208374,-0.026380
423,2.777274,-8.177396,-7.044939,-0.035440,-0.237951,0.120441
424,2.355895,-8.039729,-6.555324,-0.066349,-0.269660,0.058888
425,2.211045,-7.990648,-6.734890,-0.130567,-0.408753,-0.100989
426,2.226608,-7.765593,-7.226898,-0.004796,-0.023449,-0.022116
427,2.217031,-8.483853,-7.053318,0.025847,-0.171602,-0.199314
